Município,UF,chave,cd_mun,status
Jaçanã,RN,JACANA/RN,2405009,OK
Serra Caiada,RN,SERRA CAIADA/RN,2410306,OK
São José do Egito,PE,SAO JOSE DO EGITO/PE,2613602,OK
Camaçari,BA,CAMACARI/BA,2905701,OK
Barra do Chapéu,SP,BARRA DO CHAPEU/SP,3505351,OK
Cachoeirinha,TO,CACHOEIRINHA/TO,1703826,OK
Maracanaú,CE,MARACANAU/CE,2307650,OK
Cumari,GO,CUMARI/GO,5206602,OK
Pedro Gomes,MS,PEDRO GOMES/MS,5006408,OK
Mataraca,PB,MATARACA/PB,2509305,OK
Ribeira,SP,RIBEIRA/SP,3542800,OK
Bom Jesus,PI,BOM JESUS/PI,2201903,OK
Pedra Grande,RN,PEDRA GRANDE/RN,2409506,OK
Massaranduba,SC,MASSARANDUBA/SC,4210605,OK
Xambrê,PR,XAMBRE/PR,4128807,OK
Amargosa,BA,AMARGOSA/BA,2901007,OK
Caraá,RS,CARAA/RS,4304713,OK
Itaiçaba,CE,ITAICABA/CE,2306207,OK
Teófilo Otoni,MG,TEOFILO OTONI/MG,3168606,OK
Pescador,MG,PESCADOR/MG,3150000,OK
Bom Jesus do Galho,MG,BOM JESUS DO GALHO/MG,3107802,OK
Carlos Gomes,RS,CARLOS GOMES/RS,4304853,OK
Nova Xavantina,MT,NOVA XAVANTINA/MT,5106257,OK
Arneiroz,CE,ARNEIROZ/CE,2301505,OK
Solonópole,CE,SOLONOPOLE/CE,2313005,OK
Ouriçangas,BA,OURICANGAS/BA,2923308,OK
Rio Negro,MS,RIO NEGRO/MS,5007307,OK
Angical do Piauí,PI,ANGICAL DO PIAUI/PI,2200608,OK
Virgínia,MG,VIRGINIA/MG,3171709,OK
Itarumã,GO,ITARUMA/GO,5211305,OK
Nova Palmeira,PB,NOVA PALMEIRA/PB,2510303,OK
Mendes Pimentel,MG,MENDES PIMENTEL/MG,3141504,OK
Ibiúna,SP,IBIUNA/SP,3519709,OK
Ubatuba,SP,UBATUBA/SP,3555406,OK
Itapirapuã Paulista,SP,ITAPIRAPUA PAULISTA/SP,3522653,OK
Dom Pedrito,RS,DOM PEDRITO/RS,4306601,OK
Hidrolândia,GO,HIDROLANDIA/GO,5209705,OK
Tesouro,MT,TESOURO/MT,5108105,OK
Lidianópolis,PR,LIDIANOPOLIS/PR,4113429,OK
Aroazes,PI,AROAZES/PI,2200905,OK
Senador Sá,CE,SENADOR SA/CE,2312809,OK
Toropi,RS,TOROPI/RS,4321493,OK
Carnaíba,PE,CARNAIBA/PE,2603900,OK
Uiraúna,PB,UIRAUNA/PB,2516904,OK
Couto de Magalhães de Minas,MG,COUTO DE MAGALHAES DE MINAS/MG,3120102,OK
Assaré,CE,ASSARE/CE,2301604,OK
Caldas,MG,CALDAS/MG,3110301,OK
Abadiânia,GO,ABADIANIA/GO,5200100,OK
Felício dos Santos,MG,FELICIO DOS SANTOS/MG,3125408,OK
São Geraldo,MG,SAO GERALDO/MG,3161502,OK
Douradina,MS,DOURADINA/MS,5003504,OK
Milagres,CE,MILAGRES/CE,2308302,OK
Monte Horebe,PB,MONTE HOREBE/PB,2509602,OK
Anita Garibaldi,SC,ANITA GARIBALDI/SC,4201000,OK
Serra de São Bento,RN,SERRA DE SAO BENTO/RN,2413300,OK
Cantagalo,RJ,CANTAGALO/RJ,3301108,OK
Janiópolis,PR,JANIOPOLIS/PR,4112207,OK
Santa Luzia do Norte,AL,SANTA LUZIA DO NORTE/AL,2707909,OK
Canudos do Vale,RS,CANUDOS DO VALE/RS,4304614,OK
Governador Lindenberg,ES,GOVERNADOR LINDENBERG/ES,3202256,OK
Imbuia,SC,IMBUIA/SC,4207403,OK
Mirabela,MG,MIRABELA/MG,3142007,OK
Vitor Meireles,SC,VITOR MEIRELES/SC,4219358,OK
Ângulo,PR,ANGULO/PR,4101150,OK
Senhor do Bonfim,BA,SENHOR DO BONFIM/BA,2930105,OK
Cairu,BA,CAIRU/BA,2905404,OK
Abadia de Goiás,GO,ABADIA DE GOIAS/GO,5200050,OK
Acorizal,MT,ACORIZAL/MT,5100102,OK
Jaguarari,BA,JAGUARARI/BA,2917706,OK
Boquim,SE,BOQUIM/SE,2800670,OK
Sengés,PR,SENGES/PR,4126306,OK
Capim Branco,MG,CAPIM BRANCO/MG,3112505,OK
Santana do Acaraú,CE,SANTANA DO ACARAU/CE,2312007,OK
Arroio do Sal,RS,ARROIO DO SAL/RS,4301057,OK
Ubajara,CE,UBAJARA/CE,2313609,OK
Nova Alvorada do Sul,MS,NOVA ALVORADA DO SUL/MS,5006002,OK
São Sebastião de Lagoa de Roça,PB,SAO SEBASTIAO DE LAGOA DE ROCA/PB,2515104,OK
Centralina,MG,CENTRALINA/MG,3115805,OK
Paverama,RS,PAVERAMA/RS,4314159,OK
Umarizal,RN,UMARIZAL/RN,2414506,OK
Novo Machado,RS,NOVO MACHADO/RS,4313425,OK
Santana do Deserto,MG,SANTANA DO DESERTO/MG,3158607,OK
Poções,BA,POCOES/BA,2925105,OK
Cruzeta,RN,CRUZETA/RN,2403004,OK
Engenheiro Navarro,MG,ENGENHEIRO NAVARRO/MG,3123809,OK
Taquara,RS,TAQUARA/RS,4321204,OK
Itabaianinha,SE,ITABAIANINHA/SE,2803005,OK
Palestina de Goiás,GO,PALESTINA DE GOIAS/GO,5215652,OK
Marco,CE,MARCO/CE,2307809,OK
Bodó,RN,BODO/RN,2401651,OK
Dionísio Cerqueira,SC,DIONISIO CERQUEIRA/SC,4205001,OK
Itabuna,BA,ITABUNA/BA,2914802,OK
Novo Horizonte,SC,NOVO HORIZONTE/SC,4211652,OK
Bento Fernandes,RN,BENTO FERNANDES/RN,2401602,OK
São Felipe,BA,SAO FELIPE/BA,2929107,OK
Bom Jardim,PE,BOM JARDIM/PE,2602209,OK
Wall Ferraz,PI,WALL FERRAZ/PI,2211704,OK
Sete Barras,SP,SETE BARRAS/SP,3551801,OK
Piancó,PB,PIANCO/PB,2511301,OK
Martins Soares,MG,MARTINS SOARES/MG,3140530,OK
Farias Brito,CE,FARIAS BRITO/CE,2304301,OK
Petrolina de Goiás,GO,PETROLINA DE GOIAS/GO,5216809,OK
Munhoz,MG,MUNHOZ/MG,3143807,OK
Ingá,PB,INGA/PB,2506806,OK
Nova Esperança do Sudoeste,PR,NOVA ESPERANCA DO SUDOESTE/PR,4116950,OK
Boa Vista,PB,BOA VISTA/PB,2502151,OK
Wenceslau Braz,PR,WENCESLAU BRAZ/PR,4128500,OK
Fátima,BA,FATIMA/BA,2910750,OK
Porto Rico do Maranhão,MA,PORTO RICO DO MARANHAO/MA,2109056,OK
Cristal,RS,CRISTAL/RS,4306056,OK
Agudo,RS,AGUDO/RS,4300109,OK
Itororó,BA,ITORORO/BA,2917102,OK
Itajá,GO,ITAJA/GO,5210802,OK
Carrasco Bonito,TO,CARRASCO BONITO/TO,1703891,OK
Divino de São Lourenço,ES,DIVINO DE SAO LOURENCO/ES,3201803,OK
Riacho das Almas,PE,RIACHO DAS ALMAS/PE,2611705,OK
Santa Terezinha,PE,SANTA TEREZINHA/PE,2612802,OK
Santana do Cariri,CE,SANTANA DO CARIRI/CE,2312106,OK
Novorizonte,MG,NOVORIZONTE/MG,3145372,OK
Santana do Riacho,MG,SANTANA DO RIACHO/MG,3159001,OK
São José da Lagoa Tapada,PB,SAO JOSE DA LAGOA TAPADA/PB,2514206,OK
Lagoa do Ouro,PE,LAGOA DO OURO/PE,2608602,OK
Biquinhas,MG,BIQUINHAS/MG,3107000,OK
Vassouras,RJ,VASSOURAS/RJ,3306206,OK
Lagamar,MG,LAGAMAR/MG,3137106,OK
Nossa Senhora da Glória,SE,NOSSA SENHORA DA GLORIA/SE,2804508,OK
Colméia,TO,COLMEIA/TO,1716703,OK
Raposa,MA,RAPOSA/MA,2109452,OK
Cerro Corá,RN,CERRO CORA/RN,2402709,OK
Zabelê,PB,ZABELE/PB,2517407,OK
Passa Vinte,MG,PASSA VINTE/MG,3147808,OK
Rosário do Ivaí,PR,ROSARIO DO IVAI/PR,4122651,OK
Lagoa Seca,PB,LAGOA SECA/PB,2508307,OK
Maquiné,RS,MAQUINE/RS,4311775,OK
Coivaras,PI,COIVARAS/PI,2202737,OK
Cachoeirinha,PE,CACHOEIRINHA/PE,2603108,OK
Condor,RS,CONDOR/RS,4305702,OK
Dores do Turvo,MG,DORES DO TURVO/MG,3123304,OK
Frei Lagonegro,MG,FREI LAGONEGRO/MG,3126950,OK
Venha-Ver,RN,VENHA VER/RN,2414753,OK
Ibitiúra de Minas,MG,IBITIURA DE MINAS/MG,3129905,OK
São João do Manteninha,MG,SAO JOAO DO MANTENINHA/MG,3162575,OK
Aurora,CE,AURORA/CE,2301703,OK
Jaguaruana,CE,JAGUARUANA/CE,2307007,OK
Japaratuba,SE,JAPARATUBA/SE,2803302,OK
São Félix de Minas,MG,SAO FELIX DE MINAS/MG,3161056,OK
Presidente Médici,MA,PRESIDENTE MEDICI/MA,2109239,OK
Barra da Estiva,BA,BARRA DA ESTIVA/BA,2902807,OK
Coremas,PB,COREMAS/PB,2504801,OK
Porto dos Gaúchos,MT,PORTO DOS GAUCHOS/MT,5106802,OK
Luziânia,GO,LUZIANIA/GO,5212501,OK
Forquetinha,RS,FORQUETINHA/RS,4308433,OK
Papagaios,MG,PAPAGAIOS/MG,3146909,OK
Riqueza,SC,RIQUEZA/SC,4215075,OK
Caconde,SP,CACONDE/SP,3508702,OK
Corinto,MG,CORINTO/MG,3119104,OK
Caçapava do Sul,RS,CACAPAVA DO SUL/RS,4302808,OK
João Dourado,BA,JOAO DOURADO/BA,2918357,OK
Pocinhos,PB,POCINHOS/PB,2512002,OK
Sabinópolis,MG,SABINOPOLIS/MG,3156809,OK
Portão,RS,PORTAO/RS,4314803,OK
Serrinha,RN,SERRINHA/RN,2413508,OK
Mirim Doce,SC,MIRIM DOCE/SC,4210852,OK
Comercinho,MG,COMERCINHO/MG,3117009,OK
Canhoba,SE,CANHOBA/SE,2801108,OK
Candiota,RS,CANDIOTA/RS,4304358,OK
Alvorada do Norte,GO,ALVORADA DO NORTE/GO,5200803,OK
Alexânia,GO,ALEXANIA/GO,5200308,OK
Itapiranga,AM,ITAPIRANGA/AM,1302009,OK
Vianópolis,GO,VIANOPOLIS/GO,5222005,OK
Carnaubal,CE,CARNAUBAL/CE,2303402,OK
Tauá,CE,TAUA/CE,2313302,OK
Geminiano,PI,GEMINIANO/PI,2204352,OK
Pacatuba,CE,PACATUBA/CE,2309706,OK
Marilena,PR,MARILENA/PR,4115002,OK
Nova Itarana,BA,NOVA ITARANA/BA,2922805,OK
Barro,CE,BARRO/CE,2302008,OK
Palmeirina,PE,PALMEIRINA/PE,2610103,OK
Vila Propício,GO,VILA PROPICIO/GO,5222302,OK
Nossa Senhora das Dores,SE,NOSSA SENHORA DAS DORES/SE,2804607,OK
Sítio do Quinto,BA,SITIO DO QUINTO/BA,2930766,OK
Barro Alto,BA,BARRO ALTO/BA,2903235,OK
Santa Vitória do Palmar,RS,SANTA VITORIA DO PALMAR/RS,4317301,OK
Canguaretama,RN,CANGUARETAMA/RN,2402204,OK
Vera,MT,VERA/MT,5108501,OK
Antonina do Norte,CE,ANTONINA DO NORTE/CE,2300804,OK
Sete Quedas,MS,SETE QUEDAS/MS,5007703,OK
Tiros,MG,TIROS/MG,3168903,OK
São José de Piranhas,PB,SAO JOSE DE PIRANHAS/PB,2514503,OK
Acopiara,CE,ACOPIARA/CE,2300309,OK
Água Boa,MG,AGUA BOA/MG,3100609,OK
João Dias,RN,JOAO DIAS/RN,2405900,OK
Laranja da Terra,ES,LARANJA DA TERRA/ES,3203163,OK
Terra Nova,PE,TERRA NOVA/PE,2615201,OK
Natividade da Serra,SP,NATIVIDADE DA SERRA/SP,3532306,OK
Muniz Freire,ES,MUNIZ FREIRE/ES,3203700,OK
Novo Alegre,TO,NOVO ALEGRE/TO,1715150,OK
Novo Lino,AL,NOVO LINO/AL,2705606,OK
Ivorá,RS,IVORA/RS,4310751,OK
Felisburgo,MG,FELISBURGO/MG,3125606,OK
Nortelândia,MT,NORTELANDIA/MT,5106000,OK
Santa Maria Madalena,RJ,SANTA MARIA MADALENA/RJ,3304607,OK
Lagoa do Sítio,PI,LAGOA DO SITIO/PI,2205599,OK
Santana do Mundaú,AL,SANTANA DO MUNDAU/AL,2708105,OK
Tomar do Geru,SE,TOMAR DO GERU/SE,2807501,OK
Novo Horizonte do Sul,MS,NOVO HORIZONTE DO SUL/MS,5006259,OK
Mossoró,RN,MOSSORO/RN,2408003,OK
São Luiz do Paraitinga,SP,SAO LUIZ DO PARAITINGA/SP,3550001,OK
Camutanga,PE,CAMUTANGA/PE,2603603,OK
Paulista,PB,PAULISTA/PB,2510907,OK
Urandi,BA,URANDI/BA,2932606,OK
Quevedos,RS,QUEVEDOS/RS,4315321,OK
Rio do Campo,SC,RIO DO CAMPO/SC,4214508,OK
Engenheiro Caldas,MG,ENGENHEIRO CALDAS/MG,3123700,OK
Coronel João Pessoa,RN,CORONEL JOAO PESSOA/RN,2402907,OK
São José da Laje,AL,SAO JOSE DA LAJE/AL,2708303,OK
Pitanga,PR,PITANGA/PR,4119608,OK
Dom Basílio,BA,DOM BASILIO/BA,2910107,OK
Juquitiba,SP,JUQUITIBA/SP,3526209,OK
Joanésia,MG,JOANESIA/MG,3136108,OK
Axixá do Tocantins,TO,AXIXA DO TOCANTINS/TO,1702901,OK
José Gonçalves de Minas,MG,JOSE GONCALVES DE MINAS/MG,3136520,OK
Rio Novo,MG,RIO NOVO/MG,3155405,OK
Triunfo,PE,TRIUNFO/PE,2615706,OK
Monte Alegre de Sergipe,SE,MONTE ALEGRE DE SERGIPE/SE,2804201,OK
Riacho de Santana,RN,RIACHO DE SANTANA/RN,2410801,OK
Reserva do Iguaçu,PR,RESERVA DO IGUACU/PR,4121752,OK
Ingaí,MG,INGAI/MG,3130804,OK
Santa Rosa do Piauí,PI,SANTA ROSA DO PIAUI/PI,2209377,OK
Nossa Senhora das Graças,PR,NOSSA SENHORA DAS GRACAS/PR,4116406,OK
São José de Espinharas,PB,SAO JOSE DE ESPINHARAS/PB,2514404,OK
Carmésia,MG,CARMESIA/MG,3113800,OK
Iracema do Oeste,PR,IRACEMA DO OESTE/PR,4110656,OK
Campo Maior,PI,CAMPO MAIOR/PI,2202208,OK
Francisco Macedo,PI,FRANCISCO MACEDO/PI,2204154,OK
Monteiro,PB,MONTEIRO/PB,2509701,OK
Galvão,SC,GALVAO/SC,4205605,OK
Goianinha,RN,GOIANINHA/RN,2404200,OK
Campo Grande,RN,CAMPO GRANDE/RN,2401305,OK
Marechal Deodoro,AL,MARECHAL DEODORO/AL,2704708,OK
São Bonifácio,SC,SAO BONIFACIO/SC,4215901,OK
Itaara,RS,ITAARA/RS,4310538,OK
Mimoso de Goiás,GO,MIMOSO DE GOIAS/GO,5213053,OK
Nazaré Paulista,SP,NAZARE PAULISTA/SP,3532405,OK
Capitão Andrade,MG,CAPITAO ANDRADE/MG,3112653,OK
Leme do Prado,MG,LEME DO PRADO/MG,3138351,OK
Caririaçu,CE,CARIRIACU/CE,2303204,OK
São Pedro dos Crentes,MA,SAO PEDRO DOS CRENTES/MA,2111573,OK
Cedro,PE,CEDRO/PE,2604304,OK
Estrela Dalva,MG,ESTRELA DALVA/MG,3124609,OK
Iguaracy,PE,IGUARACY/PE,2606903,OK
Itapipoca,CE,ITAPIPOCA/CE,2306405,OK
Diamante,PB,DIAMANTE/PB,2505600,OK
Paula Cândido,MG,PAULA CANDIDO/MG,3148301,OK
Antônio Carlos,MG,ANTONIO CARLOS/MG,3102902,OK
Xavantina,SC,XAVANTINA/SC,4219606,OK
Riacho dos Machados,MG,RIACHO DOS MACHADOS/MG,3154507,OK
Missão Velha,CE,MISSAO VELHA/CE,2308401,OK
Santo Antônio da Barra,GO,SANTO ANTONIO DA BARRA/GO,5219712,OK
Águas de Chapecó,SC,AGUAS DE CHAPECO/SC,4200507,OK
Crateús,CE,CRATEUS/CE,2304103,OK
Querência do Norte,PR,QUERENCIA DO NORTE/PR,4121000,OK
Diamantino,MT,DIAMANTINO/MT,5103502,OK
Ladário,MS,LADARIO/MS,5005202,OK
Santa Cruz do Piauí,PI,SANTA CRUZ DO PIAUI/PI,2209104,OK
São Francisco de Paula,RS,SAO FRANCISCO DE PAULA/RS,4318200,OK
Santo Afonso,MT,SANTO AFONSO/MT,5107263,OK
Cerro Branco,RS,CERRO BRANCO/RS,4305132,OK
Severiano Melo,RN,SEVERIANO MELO/RN,2413607,OK
Monte Alegre,RN,MONTE ALEGRE/RN,2407807,OK
Ubaporanga,MG,UBAPORANGA/MG,3170057,OK
São José do Peixe,PI,SAO JOSE DO PEIXE/PI,2210102,OK
Santa Rita de Minas,MG,SANTA RITA DE MINAS/MG,3159357,OK
Saquarema,RJ,SAQUAREMA/RJ,3305505,OK
Socorro do Piauí,PI,SOCORRO DO PIAUI/PI,2210904,OK
Bela Vista de Goiás,GO,BELA VISTA DE GOIAS/GO,5203302,OK
Sapé,PB,SAPE/PB,2515302,OK
Palmeirópolis,TO,PALMEIROPOLIS/TO,1715754,OK
Grossos,RN,GROSSOS/RN,2404408,OK
São José do Divino,MG,SAO JOSE DO DIVINO/MG,3163300,OK
Godoy Moreira,PR,GODOY MOREIRA/PR,4108551,OK
Varjota,CE,VARJOTA/CE,2313955,OK
Toritama,PE,TORITAMA/PE,2615409,OK
Pão de Açúcar,AL,PAO DE ACUCAR/AL,2706406,OK
Guaratuba,PR,GUARATUBA/PR,4109609,OK
Vera Mendes,PI,VERA MENDES/PI,2211506,OK
Agricolândia,PI,AGRICOLANDIA/PI,2200103,OK
Coimbra,MG,COIMBRA/MG,3116704,OK
Mandirituba,PR,MANDIRITUBA/PR,4114302,OK
Capitão de Campos,PI,CAPITAO DE CAMPOS/PI,2202406,OK
Itapissuma,PE,ITAPISSUMA/PE,2607752,OK
São Geraldo do Baixio,MG,SAO GERALDO DO BAIXIO/MG,3161650,OK
Cacimba de Dentro,PB,CACIMBA DE DENTRO/PB,2503506,OK
Santa Inês,BA,SANTA INES/BA,2927903,OK
São Lourenço do Piauí,PI,SAO LOURENCO DO PIAUI/PI,2210359,OK
Varzedo,BA,VARZEDO/BA,2933174,OK
Aracati,CE,ARACATI/CE,2301109,OK
Nova Santa Bárbara,PR,NOVA SANTA BARBARA/PR,4117214,OK
Orós,CE,OROS/CE,2309508,OK
Uruana de Minas,MG,URUANA DE MINAS/MG,3170479,OK
Felixlândia,MG,FELIXLANDIA/MG,3125705,OK
Balsa Nova,PR,BALSA NOVA/PR,4102307,OK
Piau,MG,PIAU/MG,3150109,OK
Nanuque,MG,NANUQUE/MG,3144300,OK
Ibirajuba,PE,IBIRAJUBA/PE,2606705,OK
Bernardo do Mearim,MA,BERNARDO DO MEARIM/MA,2101939,OK
Central de Minas,MG,CENTRAL DE MINAS/MG,3115706,OK
Uirapuru,GO,UIRAPURU/GO,5221577,OK
Juarez Távora,PB,JUAREZ TAVORA/PB,2507606,OK
Batayporã,MS,BATAYPORA/MS,5002001,OK
Jundiá,RN,JUNDIA/RN,2406155,OK
Piracanjuba,GO,PIRACANJUBA/GO,5217104,OK
Praia Grande,SC,PRAIA GRANDE/SC,4213807,OK
Angelândia,MG,ANGELANDIA/MG,3102852,OK
Conceição,PB,CONCEICAO/PB,2504405,OK
Sítio Novo do Tocantins,TO,SITIO NOVO DO TOCANTINS/TO,1720804,OK
Goianápolis,GO,GOIANAPOLIS/GO,5208400,OK
Conceição de Macabu,RJ,CONCEICAO DE MACABU/RJ,3301405,OK
Santa Maria de Itabira,MG,SANTA MARIA DE ITABIRA/MG,3158003,OK
Santa Maria do Salto,MG,SANTA MARIA DO SALTO/MG,3158102,OK
Buritinópolis,GO,BURITINOPOLIS/GO,5203962,OK
Lagoa Grande,MG,LAGOA GRANDE/MG,3137536,OK
Porto da Folha,SE,PORTO DA FOLHA/SE,2805604,OK
Bom Sucesso,PB,BOM SUCESSO/PB,2502300,OK
Lajeado,TO,LAJEADO/TO,1712009,OK
Antonina,PR,ANTONINA/PR,4101200,OK
Belford Roxo,RJ,BELFORD ROXO/RJ,3300456,OK
Americano do Brasil,GO,AMERICANO DO BRASIL/GO,5200852,OK
Alecrim,RS,ALECRIM/RS,4300307,OK
São João do Paraíso,MG,SAO JOAO DO PARAISO/MG,3162708,OK
Ronda Alta,RS,RONDA ALTA/RS,4316105,OK
Landri Sales,PI,LANDRI SALES/PI,2205607,OK
Tobias Barreto,SE,TOBIAS BARRETO/SE,2807402,OK
Redenção da Serra,SP,REDENCAO DA SERRA/SP,3542305,OK
São José dos Ausentes,RS,SAO JOSE DOS AUSENTES/RS,4318622,OK
Guaramiranga,CE,GUARAMIRANGA/CE,2305100,OK
Querência,MT,QUERENCIA/MT,5107065,OK
Ibiraiaras,RS,IBIRAIARAS/RS,4309902,OK
Penaforte,CE,PENAFORTE/CE,2310605,OK
Manoel Ribas,PR,MANOEL RIBAS/PR,4114500,OK
Alcântaras,CE,ALCANTARAS/CE,2300507,OK
Juquiá,SP,JUQUIA/SP,3526100,OK
Agudos do Sul,PR,AGUDOS DO SUL/PR,4100301,OK
Quixadá,CE,QUIXADA/CE,2311306,OK
Cruzaltense,RS,CRUZALTENSE/RS,4306130,OK
São Romão,MG,SAO ROMAO/MG,3164209,OK
Silvânia,GO,SILVANIA/GO,5220603,OK
Reduto,MG,REDUTO/MG,3154150,OK
Bocaina de Minas,MG,BOCAINA DE MINAS/MG,3107208,OK
Espigão Alto do Iguaçu,PR,ESPIGAO ALTO DO IGUACU/PR,4107546,OK
Manoel Emídio,PI,MANOEL EMIDIO/PI,2205904,OK
Curralinhos,PI,CURRALINHOS/PI,2203255,OK
Campestre da Serra,RS,CAMPESTRE DA SERRA/RS,4303673,OK
Caturama,BA,CATURAMA/BA,2907558,OK
Maiquinique,BA,MAIQUINIQUE/BA,2920007,OK
Tavares,PB,TAVARES/PB,2516607,OK
Doverlândia,GO,DOVERLANDIA/GO,5207253,OK
Pereiro,CE,PEREIRO/CE,2310803,OK
Apuiarés,CE,APUIARES/CE,2300903,OK
Barão de Melgaço,MT,BARAO DE MELGACO/MT,5101605,OK
São José do Bonfim,PB,SAO JOSE DO BONFIM/PB,2514602,OK
Laje do Muriaé,RJ,LAJE DO MURIAE/RJ,3302304,OK
Macapá,AP,MACAPA/AP,1600303,OK
Fortim,CE,FORTIM/CE,2304459,OK
Rio Branco do Sul,PR,RIO BRANCO DO SUL/PR,4122206,OK
Pires Ferreira,CE,PIRES FERREIRA/CE,2310951,OK
Alagoinhas,BA,ALAGOINHAS/BA,2900702,OK
Lajedo do Tabocal,BA,LAJEDO DO TABOCAL/BA,2919058,OK
Upanema,RN,UPANEMA/RN,2414605,OK
Conceição do Canindé,PI,CONCEICAO DO CANINDE/PI,2202802,OK
Campestre do Maranhão,MA,CAMPESTRE DO MARANHAO/MA,2102556,OK
Porto Seguro,BA,PORTO SEGURO/BA,2925303,OK
Santo Inácio do Piauí,PI,SANTO INACIO DO PIAUI/PI,2209500,OK
Araguanã,TO,ARAGUANA/TO,1702158,OK
Baraúna,RN,BARAUNA/RN,2401453,OK
Jaboatão dos Guararapes,PE,JABOATAO DOS GUARARAPES/PE,2607901,OK
União da Serra,RS,UNIAO DA SERRA/RS,4322350,OK
São Bento do Trairí,RN,SAO BENTO DO TRAIRI/RN,2411700,OK
Pimenteiras do Oeste,RO,PIMENTEIRAS DO OESTE/RO,1101468,OK
Vila Pavão,ES,VILA PAVAO/ES,3205150,OK
Pedro Régis,PB,PEDRO REGIS/PB,2512721,OK
Tiradentes do Sul,RS,TIRADENTES DO SUL/RS,4321477,OK
Silva Jardim,RJ,SILVA JARDIM/RJ,3305604,OK
Jacupiranga,SP,JACUPIRANGA/SP,3524600,OK
Ilha Grande,PI,ILHA GRANDE/PI,2204659,OK
São João do Ivaí,PR,SAO JOAO DO IVAI/PR,4125001,OK
Presidente Juscelino,MG,PRESIDENTE JUSCELINO/MG,3153202,OK
Coronel João Sá,BA,CORONEL JOAO SA/BA,2909208,OK
Delfim Moreira,MG,DELFIM MOREIRA/MG,3121100,OK
Domingos Martins,ES,DOMINGOS MARTINS/ES,3201902,OK
Pedrinhas,SE,PEDRINHAS/SE,2805109,OK
Altamira do Paraná,PR,ALTAMIRA DO PARANA/PR,4100459,OK
São Lourenço do Sul,RS,SAO LOURENCO DO SUL/RS,4318804,OK
Lavras do Sul,RS,LAVRAS DO SUL/RS,4311502,OK
Corumbaíba,GO,CORUMBAIBA/GO,5205901,OK
Sebastião Laranjeiras,BA,SEBASTIAO LARANJEIRAS/BA,2930006,OK
Santa Terezinha do Tocantins,TO,SANTA TEREZINHA DO TOCANTINS/TO,1720002,OK
Canápolis,BA,CANAPOLIS/BA,2906105,OK
Uruburetama,CE,URUBURETAMA/CE,2313807,OK
Presidente Kennedy,ES,PRESIDENTE KENNEDY/ES,3204302,OK
Jordânia,MG,JORDANIA/MG,3136504,OK
Araçagi,PB,ARACAGI/PB,2500809,OK
Rio Pardo de Minas,MG,RIO PARDO DE MINAS/MG,3155603,OK
Catolé do Rocha,PB,CATOLE DO ROCHA/PB,2504306,OK
Cariré,CE,CARIRE/CE,2303105,OK
Belmonte,SC,BELMONTE/SC,4202156,OK
Guarda-Mor,MG,GUARDA MOR/MG,3128600,OK
Camaragibe,PE,CAMARAGIBE/PE,2603454,OK
Monjolos,MG,MONJOLOS/MG,3142502,OK
Moreno,PE,MORENO/PE,2609402,OK
Damião,PB,DAMIAO/PB,2505352,OK
Belmiro Braga,MG,BELMIRO BRAGA/MG,3106101,OK
Passagem Franca do Piauí,PI,PASSAGEM FRANCA DO PIAUI/PI,2207751,OK
Vitória do Jari,AP,VITORIA DO JARI/AP,1600808,OK
Santa Maria da Boa Vista,PE,SANTA MARIA DA BOA VISTA/PE,2612604,OK
Arauá,SE,ARAUA/SE,2800407,OK
Portelândia,GO,PORTELANDIA/GO,5218102,OK
Serra do Navio,AP,SERRA DO NAVIO/AP,1600055,OK
Ribeira do Piauí,PI,RIBEIRA DO PIAUI/PI,2208874,OK
Barra do Ribeiro,RS,BARRA DO RIBEIRO/RS,4301909,OK
Colíder,MT,COLIDER/MT,5103205,OK
Mutum,MG,MUTUM/MG,3144003,OK
São Gonçalo,RJ,SAO GONCALO/RJ,3304904,OK
Gouvelândia,GO,GOUVELANDIA/GO,5209150,OK
Macaparana,PE,MACAPARANA/PE,2609006,OK
São João do Piauí,PI,SAO JOAO DO PIAUI/PI,2210003,OK
Paracambi,RJ,PARACAMBI/RJ,3303609,OK
Aragarças,GO,ARAGARCAS/GO,5201702,OK
Sericita,MG,SERICITA/MG,3166303,OK
Santo Hipólito,MG,SANTO HIPOLITO/MG,3160603,OK
Quipapá,PE,QUIPAPA/PE,2611507,OK
Campo Belo do Sul,SC,CAMPO BELO DO SUL/SC,4203402,OK
Guiricema,MG,GUIRICEMA/MG,3129004,OK
Verê,PR,VERE/PR,4128609,OK
General Maynard,SE,GENERAL MAYNARD/SE,2802502,OK
Pacatuba,SE,PACATUBA/SE,2804904,OK
Epitaciolândia,AC,EPITACIOLANDIA/AC,1200252,OK
Queimados,RJ,QUEIMADOS/RJ,3304144,OK
Davinópolis,GO,DAVINOPOLIS/GO,5206909,OK
Alta Floresta,MT,ALTA FLORESTA/MT,5100250,OK
Moeda,MG,MOEDA/MG,3142304,OK
São Francisco,MG,SAO FRANCISCO/MG,3161106,OK
Amélia Rodrigues,BA,AMELIA RODRIGUES/BA,2901106,OK
São José dos Quatro Marcos,MT,SAO JOSE DOS QUATRO MARCOS/MT,5107107,OK
Nova Palma,RS,NOVA PALMA/RS,4313102,OK
